Statut CE,Statut FR,Appellation,Dénomination,Produit,Catégorie générale,Sous Catégorie,Couleur,Sucrosité,Mention,Code INAO,url site
IGP - Indication géographique protégée,,Poireaux de Créances,Poireaux de Créances,Poireaux de Créances,Fruits légumes et céréales en l'état ou transformés,Légume-tige,,,,,http://www.inao.gouv.fr/produit/3411
IGP - Indication géographique protégée,,Haricot tarbais,Haricot tarbais,Haricot tarbais,Fruits légumes et céréales en l'état ou transformés,Légume sec,,,,,http://www.inao.gouv.fr/produit/3404
IGP - Indication géographique protégée,,Coquille Saint-Jacques des Côtes-d’Armor,Coquille Saint-Jacques des Côtes-d’Armor,Coquille Saint-Jacques des Côtes-d’Armor,Poissons mollusques crustacés frais et produits dérivés,Mollusque,,,,,http://www.inao.gouv.fr/produit/3401
IGP - Indication géographique protégée,,Bœuf du Maine,Bœuf du Maine,Bœuf du Maine,Viandes (et abats) frais,Bovin,,,,,http://www.inao.gouv.fr/produit/3397
IGP - Indication géographique protégée,,Bœuf de Chalosse,Bœuf de Chalosse,Bœuf de Chalosse,Viandes (et abats) frais,Bovin,,,,,http://www.inao.gouv.fr/produit/3396
IGP - Indication géographique protégée,,Ail rose de Lautrec,Ail rose de Lautrec,Ail rose de Lautrec,Fruits légumes et céréales en l'état ou transformés,Bulbe,,,,,http://www.inao.gouv.fr/produit/3394
IGP - Indication géographique protégée,,Agneau du Limousin,Agneau du Limousin,Agneau du Limousin,Viandes (et abats) frais,Ovin,,,,,http://www.inao.gouv.fr/produit/3392
IGP - Indication géographique protégée,,Agneau de l'Aveyron,Agneau de l'Aveyron,Agneau de l'Aveyron,Viandes (et abats) frais,Ovin,,,,,http://www.inao.gouv.fr/produit/3390
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Olive de Nice,Olive de Nice,Pâte d'olive de Nice,Fruits légumes et céréales en l'état ou transformés,Pâte d'olive,,,,,http://www.inao.gouv.fr/produit/3342
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Abondance,Abondance,Abondance,Fromages,Pâte pressée cuite,,,,,http://www.inao.gouv.fr/produit/17637
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Huile d'olive de Corse ou Huile d'olive de Corse - Oliu di,Huile d'olive de Corse - Oliu di Corsica,Huile d'olive de Corse - Oliu di Corsica,Huiles et matières grasses (beurre margarine huiles etc.),Huile,,,,,http://www.inao.gouv.fr/produit/17618
IG - Indication géographique,AOC - Appellation d'origine contrôlée,Calvados,Calvados,Calvados,Autres boissons alcoolisées,Eaux-de-vie de cidre et de poiré,Ambré,,,,http://www.inao.gouv.fr/produit/17614
IGP - Indication géographique protégée,,Volailles du Gers,Volailles du Gers,Volailles du Gers,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/17484
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Pomme du Limousin,Pomme du Limousin,Pomme du Limousin,Fruits légumes et céréales en l'état ou transformés,Fruit à pépins,,,,,http://www.inao.gouv.fr/produit/17483
IGP - Indication géographique protégée,,Volailles de Gascogne,Volailles de Gascogne,Volailles de Gascogne,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/17482
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Volaille de Bresse ou Poulet de Bresse Poularde de Bresse Chapon de Bresse,Volaille de Bresse ou Poulet de Bresse Poularde de Bresse Chapon de Bresse,Volaille de Bresse ou Poulet de Bresse,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/17457
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Volaille de Bresse ou Poulet de Bresse Poularde de Bresse Chapon de Bresse,Volaille de Bresse ou Poulet de Bresse Poularde de Bresse Chapon de Bresse,Poularde de Bresse,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/17456
AOP - Appellation d'origine protégée,AOC - Appellation d'origine contrôlée,Volaille de Bresse ou Poulet de Bresse Poularde de Bresse Chapon de Bresse,Volaille de Bresse ou Poulet de Bresse Poularde de Bresse Chapon de Bresse,Chapon de Bresse,Viandes (et abats) frais,Volaille,,,,,http://www.inao.gouv.fr/produit/17455
IGP - Indication géographique protégée,,Melon du Haut-Poitou,Melon du Haut-Poitou,Melon du Haut-Poitou,Fruits légumes et céréales en l'état ou transformés,Légume-fruit,,,,,http://www.inao.gouv.fr/produit/17326
